GenProtEC: MultiFun assignments for E. coli modules
August 28th, 2007

Bnum	MultiFun class
b0264	8.3
b0265	8.1
b0265	8.3
b0266	8.1
b0267	8.1
b0268	8.1
b0269	8.1
b0270	6.1
b0270	8.1
b0271	8.1
b0272	2.2.2
b0272	3.1.2.3
b0272	8.1
b0273	1.5.1.3
b0273	7.1
b0273	8.1
b0274	8.1
b0274	8.3
b0275	8.1
b0275	8.3
b0276	8.1
b0277	8.1
b0278	8.1
b0279	8.1
b0280	8.1
b0281	8.1
b0282	3.1.2
b0288	1.4.3
b0296	6.6
b0297	6.1
b0297	7.4
b0298	8.3
b0299	8.3
b0300	2.2.2
b0300	3.1.2.3
b0301	6.1
b0305	2.2.2
b0305	3.1.2.2
b0311	1.7.18
b0311	5.5.1
b0311	6.1
b0311	7.3
b0312	1.7.18
b0312	5.5.1
b0313	2.2.2
b0313	3.1.2.3
b0313	3.3.1
b0313	5.5.1
b0314	1.7.18
b0314	4.2.A.15
b0314	4.S.33
b0314	6.1
b0314	7.3
b0315	3.1.2
b0316	2.2.2
b0316	3.1.2.2
b0316	3.1.2.3
b0317	6.1
b0323	1.5.1.3
b0324	1.1.4
b0328	4.2.A.76
b0328	6.1
b0330	2.2.2
b0330	3.1.2.3
b0330	3.3.1
b0330	7.1
b0331	1.1.2.3
b0331	7.1
b0333	1.1.2.3
b0333	7.1
b0334	1.1.2.3
b0335	7.1
b0336	1.7.33
b0336	4.2.A.39
b0336	4.S.41
b0336	6.1
b0336	7.3
b0337	1.7.33.4
b0337	7.1
b0338	1.7.1
b0338	2.2.2
b0338	3.1.2.2
b0338	3.1.2.3
b0338	3.3.1
b0338	5.6.2
b0338	7.1
b0339	1.7.24
b0339	5.6.2
b0339	7.1
b0340	1.7.24
b0340	1.8.3
b0340	5.6.2
b0341	1.7.24
b0341	4.2.A.1
b0341	4.S.38
b0341	5.6.2
b0341	6.1
b0341	7.3
b0342	1.1.1
b0342	7.1
b0343	1.1.1
b0343	4.2.A.1
b0343	4.S.99
b0343	6.1
b0343	7.3
b0344	1.1.1.14
b0344	7.1
b0345	1.1.1
b0345	2.2.2
b0345	3.1.2.3
b0345	3.3.1
b0345	7.1
b0346	1.1.2
b0346	2.2.2
b0346	3.1.2.2
b0346	3.3.1
b0346	7.1
b0347	1.1.2.2
b0348	1.1.2.2
b0349	1.1.2.2
b0350	1.1.2.2
b0351	1.1.2.2
b0351	1.1.5.2
b0351	7.1
b0352	1.1.2.2
b0353	1.1.2
b0353	4.2.A.1
b0353	4.S.3
b0353	6.1
b0353	7.3
b0354	2.3.7
b0354	7.1
b0355	1.1.5.7
b0356	1.1.5.2
b0356	1.1.5.7
b0356	1.3.5
b0356	7.1
b0360	8.3
b0361	8.3
b0363	1.6.9
b0365	1.1.4
b0365	1.8.2
b0365	4.3.A.1.p
b0365	4.S.175
b0365	7.2
b0366	1.1.4
b0366	1.8.2
b0366	4.3.A.1.a
b0366	4.S.175
b0366	7.1
b0367	1.1.4
b0367	1.8.2
b0367	4.3.A.1.m
b0367	4.S.175
b0367	6.1
b0367	7.3
b0368	1.1.3.17
b0368	1.8.2
b0369	1.5.3.12
b0372	8.3
b0373	8.3
b0374	1.6.12
b0374	5.3
b0374	6.4
b0375	6.1
b0375	7.4
b0376	5.6.4
b0377	4.3.A.1.m
b0377	4.S.122
b0377	5.6.4
b0377	6.1
b0377	7.3
b0381	1.6.7
b0381	6.2
b0381	7.1
b0383	1.8.1
b0383	7.2
b0384	1.8.1
b0384	5.5.3
b0385	6.1
b0386	1.5.1.4
b0386	7.1
b0388	1.5.1.20
b0388	7.1
b0390	1.5.1.20
b0393	2.1.1
b0393	7.1
b0394	1.1.1
b0396	1.1.1
b0396	4.2.A.1
b0396	4.S.16
b0396	6.1
b0396	7.3
b0397	1.2.2
b0397	2.1.5
b0397	7.1
b0398	1.2.2
b0398	2.1.5
b0398	7.1
b0399	1.8.1
b0399	2.2.2
b0399	3.1.2.2
b0399	3.1.2.4.3
b0399	3.3.2
b0399	7.1
b0400	1.8.1
b0400	2.3.3
b0400	3.1.2.4.3
b0400	3.1.3.2
b0400	6.1
b0400	7.3
b0401	1.1.3
b0401	1.5.1.18
b0401	1.5.1.19
b0401	4.2.A.26
b0401	4.S.137
b0401	6.1
b0401	7.3
b0402	1.1.3
b0402	1.5.1.3
b0402	10
b0402	4.2.A.3
b0402	4.S.158
b0402	6.1
b0402	7.3
b0403	1.2.4.1
b0403	7.1
b0405	2.2.3
b0405	7.1
b0406	2.2.3
b0406	7.1
b0407	4.3.A.5
b0407	4.S.160
b0407	6.1
b0407	7.3
b0408	4.3.A.5
b0408	4.S.160
b0408	6.1
b0408	7.3
b0409	4.3.A.5
b0409	4.S.160
b0409	6.1
b0409	7.3
b0411	1.7.33
b0411	4.1.B.10
b0411	4.S.146
b0411	6.1
b0411	7.4
b0411	8.1
b0411	8.4
b0414_1	1.5.3.9
b0414_2	1.5.3.9
b0415	1.5.3.9
b0416	2.2.2
b0416	7.1
b0417	1.5.3.8
b0418	1.6.1.2
b0418	6.1
b0418	7.3
b0420	1.5.3.19
b0420	1.5.3.6
b0420	1.5.3.8
b0421	1.5.3.19
b0421	7.1
b0422	1.2.2
b0422	2.1.4
b0422	2.1.5
b0422	7.1
b0423	1.5.3.8
b0423	2.2.3
b0425	1.5.2.2
b0425	1.5.3.23
b0425	1.5.3.5
b0427	4.2.A.1
b0427	4.S.49
b0427	5.6.4
b0427	6.1
b0427	7.3
b0428	1.5.3.12
b0428	6.1
b0428	7.3
b0429	1.3.6
b0429	1.4.2
b0429	6.1
b0429	7.3
b0430	1.3.6
b0430	1.4.2
b0430	4.3.D.4
b0430	4.S.82
b0430	6.1
b0430	7.3
b0431	1.3.6
b0431	1.4.2
b0431	4.3.D.4
b0431	4.S.82
b0431	6.1
b0431	7.3
b0432	1.3.6
b0432	1.4.2
b0432	4.3.D.4
b0432	4.S.82
b0432	6.1
b0432	7.3
b0433	1.7.34
b0433	4.2.A.1
b0433	4.S.128
b0433	6.1
b0433	6.2
b0433	7.3
b0435	3.1.4
b0435	5.1
b0435	5.5.1
b0435	6.2
b0435	7.1
b0436	2.3.4
b0436	5.1
b0436	7.1
b0437	1.2.3
b0437	3.1.3.4
b0437	5.5.2
b0437	7.1
b0438	1.2.3
b0438	2.3.4
b0438	7.1
b0439	1.2.3
b0439	3.1.3.4
b0439	7.1
b0440	2.1.1
b0440	2.3.7
b0440	3.1.3.1
b0440	7.1
b0441	2.3.4
b0441	7.2
b0444	5.6.2
b0445	4.3.A.1.p
b0445	7.2
b0447	2.2.2
b0447	3.1.2.2
b0447	3.1.2.3
b0448_1	4.3.A.1.m
b0448_1	4.S.126
b0448_1	5.6.4
b0448_1	6.1
b0448_1	7.3
b0448_2	4.3.A.1.a
b0448_2	4.S.126
b0448_2	5.6.4
b0448_2	6.1
b0448_2	7.1
b0449_1	4.3.A.1.m
b0449_1	6.1
b0449_1	7.3
b0449_2	4.3.A.1.a
b0449_2	6.1
b0449_2	7.1
b0450	1.8.3
b0450	3.1.2.4.3
b0450	3.1.4
b0451	4.2.A.49
b0451	4.S.14
b0451	6.1
b0451	7.3
b0452	1.7.1
b0453	1.6.10
b0453	1.6.11
b0455	2.2.6
b0455	2.3.2
b0455	6.6
b0455	7.1
b0459	1.1.1
b0459	7.1
b0460	2.2.2
b0460	3.1.2.4
b0460	3.3.4
b0460	5.6.3
b0462	4.2.A.6
b0462	4.S.126
b0462	5.6.4
b0462	6.1
b0462	7.3
b0463	4.2.A.6
b0463	4.S.126
b0463	5.6.4
b0463	6.1
b0463	7.3
b0464	2.2.2
b0464	3.1.2.3
b0464	3.3.1
b0464	5.6.4
b0464	7.1
b0465_2	4.1.A.23
b0465_2	4.S.93
b0465_2	5.5.6
b0465_2	6.1
b0465_2	7.3
b0467	2.1.1
b0467	7.1
b0468	6.1
b0468	8.1
b0469	1.7.33.1
b0469	7.1
b0470	2.1.1
b0470	7.1
b0472	2.1.3
b0472	2.1.4
b0472	7.1
b0473	2.3.4
b0474	1.5.2.1
b0474	7.1
b0475	1.5.3.12
b0476	1
b0476	3.1.3.3
b0476	7.1
b0477	1.7.33.1
b0477	1.7.33.2
b0478	4.2.A.37
b0478	6.1
b0478	7.3
b0479	4.2.A.1
b0479	4.S.61
b0479	5.6.4
b0479	6.1
b0479	7.3
b0480	1.7.10
b0480	7.1
b0484	4.3.A.3
b0484	4.S.36
b0484	6.1
b0484	7.3
b0485	1.1.3.16
b0486	1.1.3
b0486	4.2.A.3
b0486	4.S.12
b0486	6.1
b0486	7.3
b0487	2.2.2
b0487	3.1.2.3
b0489	6.1
b0490	4.3.A.1.a
b0490	7.1
b0491	4.9.B.25
b0491	5.6.4
b0491	6.1
b0491	7.3
b0494	1.7.1
b0494	7.2
b0495	4.3.A.1.a
b0495	7.1
b0496	6.1
b0497	9
b0502	3.1.4
b0503	2.2.5
b0503	3.1.3.2
b0504	1.7.26
b0504	2.2.2
b0504	3.1.2.2
b0505	1.1.5.2
b0505	1.7.26
b0505	1.8.3
b0506	2.2.2
b0506	3.1.2.3
b0506	3.3.1
b0506	7.1
b0507	1.1.1.20
b0507	1.1.5.2
b0507	1.7.25
b0507	1.7.26
b0508	1.7.1
b0508	7.1
b0509	1.1.1.20
b0509	1.1.1.4
b0509	1.1.1.6
b0509	1.1.5.2
b0509	1.7.25
b0509	1.7.26
b0511	4.2.A.39
b0511	4.S.9
b0511	6.1
b0511	7.3
b0512	1.1.5.2
b0512	1.7.26
b0512	1.8.3
b0513	4.9.B
b0513	6.1
b0514	1.1.1.20
b0514	1.1.5.2
b0514	1.7.25
b0514	1.7.26
b0516	1.1.5.2
b0516	1.7.26
b0516	1.8.3
b0517	1.1.5.2
b0517	1.7.26
b0517	1.8.3
b0518	6.1
b0518	7.3
b0522	1.5.2.1
b0522	7.1
b0523	1.5.2.1
b0523	7.1
b0524	1.6.3.3
b0524	6.1
b0524	6.2
b0524	6.3
b0525	2.3.4
b0525	7.1
b0526	2.3.1
b0526	7.1
b0527	6.1
b0529	1.5.3.2
b0529	1.7.17
b0530	6.5
b0531	2.3.4
b0531	7.2
b0532	6.1
b0532	7.4
b0533	1.6.12
b0533	5.3
b0533	6.4
b0534	6.5
b0535	2.2.2
b0535	3.1.2.2
b0535	3.3.1
b0535	6.5
b0536	2.2.5
b0536	7.1
b0537	8.1
b0538	8.1
b0539	8.1
b0540	8.1
b0541	8.1
b0541	8.3
b0542	8.1
b0543	4.2.A.7
b0543	4.S.126
b0543	5.6.4
b0543	6.1
b0543	7.3
b0543	8.1
b0544	8.1
b0545	8.1
b0546	3.1.2.5
b0546	8.1
b0547	8.1
b0548	8.1
b0549	8.1
b0550	1.2.2
b0550	2.1.4
b0550	2.1.5
b0550	7.1
b0550	8.1
b0551	8.1
b0552	8.1
b0552	8.3
b0553	7.4
b0553	8.1
b0554	8.1
b0555	8.1
b0556	8.1
b0557	8.1
b0558	8.1
b0559	8.1
b0560	8.1
b0561	8.1
b0562	8.1
b0563	8.1
b0564	2.2.2
b0564	3.1.2.2
b0564	3.1.2.3
b0564	3.3.3
b0564	5.5.3
b0564	7.1
b0564	8.1
b0565	1.2.3
b0565	6.1
b0565	7.4
b0565	8.1
b0566	2.2.2
b0566	3.1.2.2
b0566	3.3.1
b0566	6.1
b0566	7.4
b0568	6.1
b0568	7.4
b0568	8.1
b0569	6.1
b0569	7.3
b0569	8.1
b0570	2.3.3
b0570	3.1.2.4.3
b0570	3.1.3.2
b0570	7.3
b0571	2.2.2
b0571	3.1.2.4.3
b0571	3.3.1
b0572	4.1.B.17
b0572	4.S.36
b0572	6.1
b0572	7.4
b0574	4.9.B
b0574	5.6.4
b0575	4.2.A.6
b0575	4.S.28
b0575	5.6.4
b0575	6.1
b0575	7.3
b0576	1.1.3
b0576	1.5.1.13
b0576	4.2.A.3
b0576	4.S.153
b0576	6.1
b0576	7.3
b0577	4.9.B
b0577	6.1
b0577	7.2
b0578	1.7.1
b0578	5.6.4
b0582	8.3
b0583	1.5.3.14
b0583	6.1
b0583	7.3
b0584	4.1.B.14
b0584	4.S.56
b0584	5.5.7
b0584	6.1
b0584	7.4
b0584	8.4
b0585	1.7.19
b0585	5.5.7
b0585	7.1
b0586	1.5.3.14
b0586	1.5.3.5
b0586	2.3.9
b0586	5.5.7
b0586	7.1
b0587	4.S.56
b0587	5.5.7
b0587	6.1
b0587	7.3
b0588	4.3.A.1.a
b0588	4.S.56
b0588	5.5.7
b0588	7.1
b0589	4.3.A.1.m
b0589	4.S.56
b0589	5.5.7
b0589	6.1
b0589	7.3
b0590	4.3.A.1.m
b0590	4.S.56
b0590	5.5.7
b0590	6.1
b0590	7.3
b0591	4.2.A.17
b0591	4.S.56
b0591	5.5.7
b0591	6.1
b0591	7.3
b0592	4.3.A.1.p
b0592	4.S.56
b0592	5.5.7
b0592	7.2
b0593	1.5.3.14
b0594	1.5.3.14
b0594	2.3.9
b0594	6.1
b0594	7.1
b0595	1.5.3.14
b0595	2.3.9
b0595	7.1
b0596	1.5.3.14
b0597	1.5.3.14
b0598	5.5.3
b0598	6.1
b0598	7.3
b0599	1.7.1
b0600	1
b0603	2.2.2
b0603	3.1.2
b0604	2.3.4
b0604	7.2
b0605	5.6.2
b0606	1.5.3.9
b0606	5.6.2
b0610	1.7.33
b0610	3.1.4
b0611	1.2.1
b0611	2.2.4
b0611	7.1
b0612	1.1.1
b0612	4.2.A.47
b0612	4.S.34
b0612	6.1
b0612	7.3
b0613	2.3
b0614	2.3.3
b0615	1.7.1
b0615	7.1
b0616	1.7.1
b0616	7.1
b0617	1.7.1
b0617	7.1
b0618	1.7.1
b0618	2.3.3
b0618	3.1.3.2
b0618	7.1
b0619	2.3.3
b0619	3.1.2.4.3
b0619	3.1.3.2
b0619	6.1
b0619	7.3
b0620	2.2.2
b0620	3.1.2.2
b0620	3.1.2.4.3
b0620	3.3.1
b0620	7.1
b0621	1.1.1
b0621	4.2.A.61
b0621	4.S.46
b0621	6.1
b0621	7.3
b0622	1.6.3.3
b0622	6.1
b0622	7.4
b0623	2.2.2
b0623	3.1.2.2
b0623	3.3.1
b0623	5.5.2
b0623	5.6.1
b0623	7.1
b0624	5.1
b0624	6.1
b0627	4.2.A.64
b0627	4.S.160
b0627	6.1
b0627	7.3
b0628	1.5.3.3
b0628	7.1
b0629	2.2.2
b0629	3.1.2.2
b0629	3.1.2.3
b0630	1.5.3.3
b0632	5.1
b0632	5.6.4
b0632	7.3
b0633	6.1
b0633	7.3
b0634	4.9.B.3
b0634	5.1
b0634	6.1
b0634	7.3
b0635	1.6.7
b0635	5.1
b0635	5.6.4
b0635	6.2
b0635	7.3
b0638	1.5.3.13
b0639	1.5.3.7
b0639	1.7.45
b0640	2.1.1
b0640	7.1
b0641	1.6.10
b0641	7.3
b0642	2.3.1
b0642	7.1
b0646	2.3.4
b0649	2.3.4
b0650	2.3.4
b0650	7.1
b0651	1.7.33
b0652	1.5.1.5
b0652	4.3.A.1.a
b0652	4.S.75
b0652	7.1
b0653	1.5.1.5
b0653	4.3.A.1.m
b0653	4.S.75
b0653	6.1
b0653	7.3
b0654	1.5.1.5
b0654	4.3.A.1.m
b0654	4.S.75
b0654	6.1
b0654	7.3
b0655	4.3.A.1.p
b0655	4.S.75
b0655	7.2
b0656	8.3
b0657	1.6.10
b0657	6.1
b0657	7.3
b0658	6.1
b0660	4.9.B
b0661	2.2.3
b0661	7.1
b0662	1.3.6
b0662	1.5.3.11
b0664	2.2.5
b0664	7.1
b0665	2.2.5
b0665	7.1
b0666	2.2.5
b0666	7.1
b0668	2.2.5
b0668	7.1
b0670	2.2.5
b0670	7.1
b0672	2.2.5
b0672	7.1
b0673	2.2.5
b0673	7.1
b0674	1.5.1.6
b0674	7.1
b0675	1.7.12
b0676	1.7.12
